Bank_Code,Bank_Name,Branch_Code,Atm_Num,ATM_Address,ATM_Address_Extra,City,Commission,ATM_Type,ATM_Location,Handicap_Access,X_Coordinate,Y_Coordinate
14,"בנק אוצר החייל בע""מ",362,3625,החרושת 0,מתחם חוצות המפרץ (צומת וולקן),חיפה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,32.81,35.05
14,"בנק אוצר החייל בע""מ",381,3817,"מחנה טלי, ד.נ. נגב 0",,"הר הנגב הצפוני מ""א 48",לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,30.78,34.67
14,"בנק אוצר החייל בע""מ",345,3457,מרכז מסחרי רעות 0,ד.נ. מודיעין,מודיעין-מכבים-רעות*,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,31.89,35.02
14,"בנק אוצר החייל בע""מ",367,3677,"בסיס צבאי, מחנה מרים 0",,חצור-אשדוד,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,31.83,34.8
14,"בנק אוצר החייל בע""מ",363,3638,בן צבי 9,,באר שבע,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,31.24,34.8
14,"בנק אוצר החייל בע""מ",367,3671,"בסיס צבאי, מחנה מרים 0",,חצור-אשדוד,לא,משיכת מזומן,על קיר הסניף,כן,31.83,34.8
14,"בנק אוצר החייל בע""מ",350,3501,נחום חת 1,"א""ת מת""מ - טירת הכרמל",טירת כרמל,לא,משיכת מזומן,על קיר הסניף,כן,32.78,34.96
14,"בנק אוצר החייל בע""מ",379,3791,"מחנה הילה, ד""נ גן שורק 0",,פלמחים,לא,משיכת מזומן,על קיר הסניף,כן,31.88,34.68
14,"בנק אוצר החייל בע""מ",332,3321,"עיר הבהד""ים 0",,ירוחם,לא,משיכת מזומן,על קיר הסניף,כן,31.06,34.85
14,"בנק אוצר החייל בע""מ",318,3185,יוהנה ז'בוטינסקי 7,,באר שבע,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,31.24,34.78
14,"בנק אוצר החייל בע""מ",376,3767,בסיס צבאי חצרים 0,"מחנה יפה,",חצרים,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,31.24,34.66
14,"בנק אוצר החייל בע""מ",366,3667,"בסיס צבאי, מחנה תל-נוף 0",,גדרה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,31.82,34.82
14,"בנק אוצר החייל בע""מ",317,3173,העצמאות 65,קניון כפר גנים,פתח תקווה,לא,משיכת מזומן,על קיר הסניף,כן,32.07,34.87
14,"בנק אוצר החייל בע""מ",362,3622,החרושת 0,מתחם חוצות המפרץ (צומת וולקן),חיפה,לא,משיכת מזומן,על קיר הסניף,כן,32.81,35.05
14,"בנק אוצר החייל בע""מ",317,3178,העצמאות 65,קניון כפר גנים,פתח תקווה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,32.07,34.87
14,"בנק אוצר החייל בע""מ",313,3131,האגס 0,קניון סנטר הגליל,ראש פינה,לא,משיכת מזומן,על קיר הסניף,כן,32.97,35.55
14,"בנק אוצר החייל בע""מ",361,3612,החשמונאים 84,,תל אביב -יפו,לא,משיכת מזומן,על קיר הסניף,כן,32.07,34.78
14,"בנק אוצר החייל בע""מ",346,3467,דיזינגוף 22,,נתניה,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,32.33,34.85
14,"בנק אוצר החייל בע""מ",355,3556,שד' מנחם בגין 7,"מרכז צימר, ככר הסיטי",אשדוד,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,31.79,34.64
14,"בנק אוצר החייל בע""מ",917,3172,ז'בוטינסקי 94,0,פתח תקווה,כן,משיכת מזומן,"במרחק של יותר מ- 500 מטר מהסניף
",כן,186840,666565
14,"בנק אוצר החייל בע""מ",311,3312,דרך הבנים 17,דרך הבנים 17 מרכז מסחרי,פרדס חנה-כרכור,לא,משיכת מזומן,על קיר הסניף,לא,32.48,34.98
14,"בנק אוצר החייל בע""מ",392,3922,ילדי טהרן 5,מתחם הפאואר סנטר החדש,ראשון לציון,לא,משיכת מזומן,על קיר הסניף,כן,31.99,34.77
14,"בנק אוצר החייל בע""מ",331,3312,מחנה יוכבד 0,"ממ""ס הקניון האדום, אילת",אילת,לא,משיכת מזומן,על קיר הסניף,לא,29.94,34.96
14,"בנק אוצר החייל בע""מ",355,3555,שד' מנחם בגין 7,"מרכז צימר, ככר הסיטי",אשדוד,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,31.79,34.64
14,"בנק אוצר החייל בע""מ",361,3617,החשמונאים 84,,תל אביב -יפו,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,32.07,34.78
14,"בנק אוצר החייל בע""מ",362,3627,החרושת 0,מתחם חוצות המפרץ (צומת וולקן),חיפה,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,32.81,35.05
14,"בנק אוצר החייל בע""מ",362,3628,החרושת 0,מתחם חוצות המפרץ (צומת וולקן),חיפה,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,לא,32.81,35.05
14,"בנק אוצר החייל בע""מ",377,3775,שד' התמרים 11,שדרות התמרים 11,אילת,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,29.56,34.95
14,"בנק אוצר החייל בע""מ",377,3777,שד' התמרים 11,שדרות התמרים 11,אילת,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,29.56,34.95
14,"בנק אוצר החייל בע""מ",382,3825,יוספטל 92,קניון בת ים,בת ים,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,32.02,34.76
14,"בנק אוצר החייל בע""מ",392,3927,ילדי טהרן 5,מתחם הפאואר סנטר החדש,ראשון לציון,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,31.99,34.77
14,"בנק אוצר החייל בע""מ",395,3957,הרצל 182,,רחובות,לא,"מכשיר מידע/או מתן הוראות
",בתוך הסניף,כן,31.9,34.81
